country,broad_sector,year,export_trade,import_trade
BRA,1,2010,358.775724,1882.201569
BRA,1,2011,547.367316,2768.036053
BRA,1,2012,174.75876,2288.733412
BRA,1,2013,1342.949985,2391.614242
BRA,1,2014,1034.6799369999999,2553.093953
BRA,1,2015,281.23739700000004,2141.377295
BRA,1,2016,438.23341300000004,1847.6548549999998
BRA,1,2017,300.164911,1759.7556200000001
BRA,1,2018,292.0860380000001,1641.822941
BRA,1,2019,301.85445599999997,1806.781721
BRA,2,2010,1674.953242,7845.287092
BRA,2,2011,2577.5596889999997,9802.650374
BRA,2,2012,1858.503737,8084.828783
BRA,2,2013,1418.938748,4713.892858
BRA,2,2014,1179.851638,5880.253393999999
BRA,2,2015,1115.0498690000002,4405.413699
BRA,2,2016,860.291543,2710.587492
BRA,2,2017,1469.80123,4503.308419
BRA,2,2018,2390.299823,4503.072840999999
BRA,2,2019,2625.4953649999998,4291.725100000001
BRA,3,2010,26694.254243000007,14457.291836999999
BRA,3,2011,32690.37991,18853.503198000002
BRA,3,2012,32220.727095000002,20888.15534399999
BRA,3,2013,35123.93020399999,19476.551731999996
BRA,3,2014,34658.11004699999,20321.731870999996
BRA,3,2015,26670.99875500002,19240.53543400001
BRA,3,2016,23956.21251599999,18906.326746000002
BRA,3,2017,27547.95602999999,20803.96446899999
BRA,3,2018,32004.352267,22397.40849299999
BRA,3,2019,33755.183232999996,23331.604334000003
BRA,4,2010,18419.0,5058.0
BRA,4,2011,22930.0,6446.0
BRA,4,2012,25418.0,6184.0
BRA,4,2013,27454.0,6555.0
BRA,4,2014,28964.0,7917.0
BRA,4,2015,27115.0,6523.0
BRA,4,2016,22370.0,5224.0
BRA,4,2017,26525.0,5220.0
BRA,4,2018,26573.0,4533.0
BRA,4,2019,24258.0,4720.0
CAN,1,2010,5524.9294070000005,6283.799240000001
CAN,1,2011,6012.2899929999985,6824.433244999999
CAN,1,2012,5996.259090999999,6832.553920999998
CAN,1,2013,6182.236318000001,8009.887416000001
CAN,1,2014,6453.001035999999,8510.973211
CAN,1,2015,6297.495402000001,7387.787284
CAN,1,2016,6074.924245000001,6580.185591000001
CAN,1,2017,6162.388099999997,6765.994664999999
CAN,1,2018,6808.564931999999,6973.459359999999
CAN,1,2019,6825.209869,6935.535923
CAN,2,2010,8196.256687000001,69288.538429
CAN,2,2011,8971.100278000002,85154.781814
CAN,2,2012,8572.099944999998,85692.45603
CAN,2,2013,11592.072213,93274.704172
CAN,2,2014,19333.589339,104813.94322600002
CAN,2,2015,12633.419211,61896.302900999995
CAN,2,2016,9516.952394,48866.357448
CAN,2,2017,12588.088384000002,64899.757685000004
CAN,2,2018,15170.289577000001,75498.191978
CAN,2,2019,15967.155714999999,76829.36404899998
CAN,3,2010,176224.22007100002,192054.456896
CAN,3,2011,199358.70779599994,211579.30391699998
CAN,3,2012,213888.32149600002,222384.37392100008
CAN,3,2013,215824.1635349999,222667.59575299994
CAN,3,2014,218806.70421200004,226053.71940400003
CAN,3,2015,197622.33983200003,215008.022488
CAN,3,2016,187831.29727600008,208340.01417399995
CAN,3,2017,196692.84958000004,209520.2972630001
CAN,3,2018,206005.461491,219174.38917699995
CAN,3,2019,199991.996022,221640.25399700002
CAN,4,2010,57289.0,42677.900650024414
CAN,4,2011,61897.0,47417.59941864014
CAN,4,2012,65774.0,50772.199699401855
CAN,4,2013,67546.0,51275.90033721924
CAN,4,2014,65980.0,50146.90174865723
CAN,4,2015,59816.0,46790.399742126465
CAN,4,2016,60734.0,48176.600425720215
CAN,4,2017,65108.0,51999.899589538574
CAN,4,2018,68684.0,53471.09812164307
CAN,4,2019,69393.0,38674.0
CHN,1,2010,16256.099410000003,1501.837395
CHN,1,2011,19752.187004999996,1658.8342669999997
CHN,1,2012,24629.224067999992,1711.177113
CHN,1,2013,22662.249170000003,1956.113646
CHN,1,2014,24887.180530999995,1857.2211820000002
CHN,1,2015,21161.464947000004,1982.3878149999998
CHN,1,2016,20314.644037,1889.419625
CHN,1,2017,20688.350236,1846.5920390000003
CHN,1,2018,12865.035471000003,2034.433428
CHN,1,2019,10546.247698999998,1568.1840619999998
CHN,2,2010,2446.2695190000004,547.943717
CHN,2,2011,2916.4558509999997,589.022845
CHN,2,2012,3344.4508710000005,558.417774
CHN,2,2013,3579.536421,453.492724
CHN,2,2014,2631.4487,456.575531
CHN,2,2015,1929.0376880000001,468.23609400000004
CHN,2,2016,1684.647236,328.424712
CHN,2,2017,6124.151430000001,396.821023
CHN,2,2018,9751.633043999998,511.007508
CHN,2,2019,4138.092168,407.578532
CHN,3,2010,77152.18039600001,376867.0843329999
CHN,3,2011,88050.74948,410755.7984919999
CHN,3,2012,98796.825389,437736.0039279998
CHN,3,2013,119251.25941500002,452349.15059200005
CHN,3,2014,125557.23470299997,479695.57379999995
CHN,3,2015,125262.052274,496295.97052000003
CHN,3,2016,111844.28930399998,473904.8505429998
CHN,3,2017,124807.872028,516703.3813269999
CHN,3,2018,130575.90776599997,553608.6662650001
CHN,3,2019,107821.27241100001,462094.25330200006
CHN,4,2010,20159.0,11398.0
CHN,4,2011,25125.0,12550.0
CHN,4,2012,29754.0,13424.0
CHN,4,2013,35227.0,14578.0
CHN,4,2014,41645.0,14907.0
CHN,4,2015,46222.609966278076,31795.952102661133
CHN,4,2016,54616.32992553711,28843.266708374023
CHN,4,2017,56144.0,17166.0
CHN,4,2018,58467.0,18921.0
CHN,4,2019,58581.0,19839.0
DEU,1,2010,1004.7690090000003,333.47855
DEU,1,2011,1227.7244070000002,422.88727300000005
DEU,1,2012,1211.545985,382.789988
DEU,1,2013,1452.653092,474.841031
DEU,1,2014,1534.8449070000001,445.19790000000006
DEU,1,2015,1774.8203769999998,525.0175769999998
DEU,1,2016,1529.183567,570.6771229999999
DEU,1,2017,1640.8530299999998,669.839365
DEU,1,2018,1597.4461519999998,640.055152
DEU,1,2019,1791.550473,651.627734
DEU,2,2010,1000.3399860000001,19.611667
DEU,2,2011,1681.0351369999998,16.633027000000002
DEU,2,2012,1586.95844,23.445057
DEU,2,2013,1537.302921,18.033191
DEU,2,2014,1350.7584380000003,24.474401
DEU,2,2015,1069.510066,30.271362
DEU,2,2016,1225.0936769999998,21.687691
DEU,2,2017,1555.9598879999999,27.824956999999998
DEU,2,2018,3571.378318,29.627304
DEU,2,2019,3803.7184500000003,27.465235999999997
DEU,3,2010,56628.82439900001,80219.384951
DEU,3,2011,62855.966237999986,96291.87719400002
DEU,3,2012,62347.556583000005,106659.19186700003
DEU,3,2013,61137.95711400001,111512.29249399996
DEU,3,2014,61618.46720099999,120167.56253900004
DEU,3,2015,63130.74814599999,120690.506967
DEU,3,2016,60547.891362,109305.737877
DEU,3,2017,65562.72385400001,112023.91184299995
DEU,3,2018,69714.120628,119886.16582200002
DEU,3,2019,72917.11048499997,120834.09843700001
DEU,4,2010,27859.786193847656,31204.332458496094
DEU,4,2011,29162.39195251465,35731.13748168945
DEU,4,2012,29320.927001953125,37709.14033508301
DEU,4,2013,29203.321990966797,40766.82293701172
DEU,4,2014,29387.498012542725,43489.41092681885
DEU,4,2015,31111.597993850708,44481.05316734314
DEU,4,2016,33170.63001060486,43880.93718910217
DEU,4,2017,34448.365005493164,47352.54932594299
DEU,4,2018,35770.37099456787,41364.97073554993
DEU,4,2019,36314.58099555969,45017.77311229706
FRA,1,2010,379.0998679999999,238.48416799999998
FRA,1,2011,497.96456399999994,240.466124
FRA,1,2012,370.16938500000003,220.381519
FRA,1,2013,438.03538100000003,265.830161
FRA,1,2014,514.2846589999999,260.418209
FRA,1,2015,411.256472,286.91312
FRA,1,2016,461.83735300000006,260.56259600000004
FRA,1,2017,374.67789099999993,238.35042800000002
FRA,1,2018,427.1026790000001,281.003003
FRA,1,2019,443.7690790000001,261.476575
FRA,2,2010,589.651998,12.84464
FRA,2,2011,809.086821,12.687727
FRA,2,2012,753.630622,12.623967
FRA,2,2013,657.7039719999999,15.657854
FRA,2,2014,346.159186,13.090353
FRA,2,2015,257.829025,15.202895
FRA,2,2016,367.12584100000004,15.731605
FRA,2,2017,768.5195069999999,38.71420499999999
FRA,2,2018,1410.827779,82.827355
FRA,2,2019,2890.503887,17.260892000000002
FRA,3,2010,33890.615204999995,34448.00639999999
FRA,3,2011,39013.294189,36489.109815
FRA,3,2012,40976.32877700001,38045.51469500001
FRA,3,2013,41964.58081700001,40421.799330999995
FRA,3,2014,40472.97710899999,41961.162127
FRA,3,2015,37520.264764,41530.27745199999
FRA,3,2016,38281.99510699999,40866.737161
FRA,3,2017,37918.212427,43262.42644399999
FRA,3,2018,39044.045385,45712.940357999985
FRA,3,2019,39885.07240199999,49911.25214100001
FRA,4,2010,17926.0,17745.0
FRA,4,2011,20701.81390762329,26177.111796855927
FRA,4,2012,18667.113010406494,27585.267669200897
FRA,4,2013,19711.21402168274,26097.98764204979
FRA,4,2014,20213.781027793884,28519.06233739853
FRA,4,2015,22156.73980653286,29071.40414237976
FRA,4,2016,21121.617055535316,30426.58500289917
FRA,4,2017,22985.02589416504,33456.3133392334
FRA,4,2018,24109.320014953613,36721.202728271484
FRA,4,2019,24449.18580532074,34879.45759391785
GBR,1,2010,773.4406380000001,188.06063699999999
GBR,1,2011,933.0361330000003,186.46911599999999
GBR,1,2012,667.2259200000002,142.270576
GBR,1,2013,772.565217,110.01070500000003
GBR,1,2014,915.4697100000001,126.560498
GBR,1,2015,878.185981,150.53523999999996
GBR,1,2016,857.497315,181.438692
GBR,1,2017,824.745652,180.96865
GBR,1,2018,850.4546170000002,149.89315900000005
GBR,1,2019,702.7095760000001,143.586184
GBR,2,2010,810.6120030000001,3492.316317
GBR,2,2011,1313.317437,1813.9340160000002
GBR,2,2012,1441.590452,930.520253
GBR,2,2013,1496.7351959999999,1043.025472
GBR,2,2014,1235.8137040000001,442.191141
GBR,2,2015,639.503367,268.910178
GBR,2,2016,454.89500000000004,373.47978
GBR,2,2017,2184.3775879999994,544.156023
GBR,2,2018,4830.104682,1585.1057759999999
GBR,2,2019,6362.265842,1565.384888
GBR,3,2010,36989.817333,42545.790648000024
GBR,3,2011,40717.018636000015,45420.433481
GBR,3,2012,40979.08156099999,49028.208961000004
GBR,3,2013,41531.060414,46310.75820700001
GBR,3,2014,54156.79505700001,48072.467522
GBR,3,2015,53716.99719600002,50497.106043000014
GBR,3,2016,54168.23259100001,47102.19647499999
GBR,3,2017,54411.80505199998,45957.176164000004
GBR,3,2018,55887.71518700001,51520.16363599998
GBR,3,2019,58283.005753000005,53116.372425
GBR,4,2010,55811.0,40553.074966430664
GBR,4,2011,58590.0,44546.565017700195
GBR,4,2012,62231.198974609375,45342.909896850586
GBR,4,2013,62998.94104003906,48126.31990814209
GBR,4,2014,67888.10705566406,54628.401222229004
GBR,4,2015,70182.0,55420.027168273926
GBR,4,2016,69791.65726470947,83182.08777618408
GBR,4,2017,74881.72300720215,88151.23014068604
GBR,4,2018,79762.33923339844,101543.28079223633
GBR,4,2019,78672.45195007324,102300.18249511719
IND,1,2010,373.810189,1375.4805820000001
IND,1,2011,568.72809,3174.3784410000003
IND,1,2012,674.2725280000001,4520.008769
IND,1,2013,783.3946539999998,2941.0972830000005
IND,1,2014,932.8871790000001,2391.3235879999997
IND,1,2015,994.622798,2033.9804150000002
IND,1,2016,1125.5193689999996,1453.01614
IND,1,2017,1421.381676,1782.238773
IND,1,2018,1345.182757,1686.5476859999999
IND,1,2019,1580.6517199999998,1587.965899
IND,2,2010,564.177223,47.136238
IND,2,2011,1081.300256,50.335587
IND,2,2012,1320.3054510000002,74.16391100000001
IND,2,2013,693.5407090000001,104.346851
IND,2,2014,712.8973390000001,74.537324
IND,2,2015,611.756927,64.060992
IND,2,2016,557.177328,63.383450999999994
IND,2,2017,2066.005813,218.67685999999998
IND,2,2018,5563.878498,383.002499
IND,2,2019,7031.040958999999,212.28371399999997
IND,3,2010,15416.255360000003,29339.181958
IND,3,2011,17585.285675,34922.67295599999
IND,3,2012,18807.458356999996,40383.702565999985
IND,3,2013,17049.954255000008,41582.84478699999
IND,3,2014,17939.582545999994,45406.60242400002
IND,3,2015,18183.829579999998,44793.276311999995
IND,3,2016,18086.111734999995,46030.608073
IND,3,2017,19904.090782999996,48363.27315799999
IND,3,2018,25071.187251,54309.57340199998
IND,3,2019,25570.389694000005,57567.665936
IND,4,2010,9898.0,15259.0
IND,4,2011,10677.0,17643.0
IND,4,2012,11194.0,18657.0
IND,4,2013,12363.0,20574.0
IND,4,2014,14389.0,22576.0
IND,4,2015,17311.0,24871.0
IND,4,2016,19516.0,26369.0
IND,4,2017,22252.0,28145.0
IND,4,2018,22117.0,29707.0
IND,4,2019,22464.0,29511.0
JPN,1,2010,9174.821952000004,121.493755
JPN,1,2011,11175.599235000003,117.86733699999999
JPN,1,2012,9907.779357,66.997322
JPN,1,2013,8458.071816,75.86282499999999
JPN,1,2014,9262.4108,63.13173
JPN,1,2015,8125.561813,84.803722
JPN,1,2016,7336.694816999999,91.855065
JPN,1,2017,7747.081883,109.857578
JPN,1,2018,8785.160866999999,122.686988
JPN,1,2019,7904.368499000001,130.776711
JPN,2,2010,1552.6340699999998,24.84592
JPN,2,2011,2542.8939900000005,33.850651
JPN,2,2012,2255.332471,27.669749
JPN,2,2013,1699.1532069999998,28.918821
JPN,2,2014,1646.6334020000002,34.88648
JPN,2,2015,1284.873179,30.171628
JPN,2,2016,1040.244149,35.528042
JPN,2,2017,3096.723575,41.931134
JPN,2,2018,5291.021994,42.164533
JPN,2,2019,6697.818585,37.502665
JPN,3,2010,56853.35705900001,120040.25224300002
JPN,3,2011,60988.346155,129083.42813399999
JPN,3,2012,65518.68522299999,146374.19882899994
JPN,3,2013,61725.374338999995,138218.04804500003
JPN,3,2014,62069.67055400001,133658.20492600003
JPN,3,2015,58801.971111,130702.002219
JPN,3,2016,60618.929556,131282.34613999998
JPN,3,2017,62484.18952099999,135805.27665000004
JPN,3,2018,69352.43639799998,141389.02614399997
JPN,3,2019,66760.31494200001,142033.70746999996
JPN,4,2010,88450.17578125,61530.27734375
JPN,4,2011,92120.34582519531,56284.595703125
JPN,4,2012,102143.1796875,63955.2578125
JPN,4,2013,45711.0,30942.0
JPN,4,2014,46868.09997558594,43566.49948883057
JPN,4,2015,43615.69998168945,41931.79950714111
JPN,4,2016,43231.69999694824,45658.69998931885
JPN,4,2017,46861.899963378906,46339.49923706055
JPN,4,2018,47580.70004272461,45500.40115356445
JPN,4,2019,48523.0,35989.0
KOR,1,2010,3730.308166,98.82689899999998
KOR,1,2011,4131.377772,120.46552600000001
KOR,1,2012,3718.3060629999995,100.92785
KOR,1,2013,2841.3697779999998,105.498194
KOR,1,2014,4192.5259909999995,110.30392599999999
KOR,1,2015,3493.2451890000007,125.58793299999999
KOR,1,2016,3225.879037,130.54128
KOR,1,2017,3636.2967790000002,143.958447
KOR,1,2018,4352.797621,138.70833299999998
KOR,1,2019,3484.8386579999997,152.204341
KOR,2,2010,978.082927,3.084793
KOR,2,2011,1904.5863229999998,2.9488820000000002
KOR,2,2012,1725.9152649999999,2.890904
KOR,2,2013,1266.728931,3.854346
KOR,2,2014,1065.488763,7.385897999999999
KOR,2,2015,882.806017,12.790856
KOR,2,2016,903.447935,14.744188
KOR,2,2017,2816.7562839999996,13.888307000000001
KOR,2,2018,7955.6154879999995,15.163193999999999
KOR,2,2019,12331.073500999999,14.702672999999999
KOR,3,2010,33821.809357,49456.00134700001
KOR,3,2011,35765.271038999985,57498.05890999997
KOR,3,2012,38198.75005199999,59890.15054900001
KOR,3,2013,37803.08994599999,63159.356769000005
KOR,3,2014,40345.97624600002,70483.08424800001
KOR,3,2015,39943.14626200001,72317.95323500001
KOR,3,2016,39368.944621,70331.70068499999
KOR,3,2017,44530.71978799998,71778.940761
KOR,3,2018,46784.022991000005,74413.767465
KOR,3,2019,46437.88439999999,78166.39337099998
KOR,4,2010,16428.999987602234,13697.799774169922
KOR,4,2011,17901.10000038147,15140.199752807617
KOR,4,2012,20004.200006484985,17150.899703979492
KOR,4,2013,22376.0,17262.599884033203
KOR,4,2014,21449.6999874115,17347.799713134766
KOR,4,2015,21799.29999923706,14463.599914550781
KOR,4,2016,22546.900005340576,14053.300109863281
KOR,4,2017,24423.70000076294,14260.100051879883
KOR,4,2018,23411.40000152588,15817.599975585938
KOR,4,2019,23446.0,8190.0
MEX,1,2010,7623.390678999999,7530.948964000002
MEX,1,2011,10082.17872,8660.401271000002
MEX,1,2012,9944.927923000001,8714.773570000003
MEX,1,2013,8835.578094000002,9392.603923999997
MEX,1,2014,9107.511245999998,10050.121049999998
MEX,1,2015,8238.628525,11390.557593000001
MEX,1,2016,8302.173716,12427.178141
MEX,1,2017,8859.147286000003,13311.116165
MEX,1,2018,9755.12856,13841.017587000002
MEX,1,2019,9909.315189000003,15180.911239000003
MEX,2,2010,2346.029718,30689.330525
MEX,2,2011,3306.075567,40768.157358
MEX,2,2012,3003.088729,38024.505779
MEX,2,2013,3958.143877,32825.776587
MEX,2,2014,4314.606610000001,28797.432961
MEX,2,2015,3702.4900540000003,13309.307433
MEX,2,2016,3923.0841629999995,8227.066599
MEX,2,2017,6577.197730999999,10730.674078999999
MEX,2,2018,8181.640589999999,15024.023883000002
MEX,2,2019,7400.739269999999,12970.156315
MEX,3,2010,133348.91781900002,186262.157299
MEX,3,2011,158997.45467700012,208149.568129
MEX,3,2012,170746.31321199995,225327.26193999997
MEX,3,2013,172955.501545,233034.58644800002
MEX,3,2014,177868.71092399996,248732.96369499998
MEX,3,2015,169842.62279,264931.405106
MEX,3,2016,161127.67300300003,266553.25753
MEX,3,2017,172152.79834,281989.8714240001
MEX,3,2018,189797.65299299997,310086.45929300005
MEX,3,2019,180871.21824800008,322706.78947699995
MEX,4,2010,23727.0,15891.0
MEX,4,2011,25477.0,16811.0
MEX,4,2012,27292.0,18021.0
MEX,4,2013,28881.0,18909.0
MEX,4,2014,29461.0,21632.0
MEX,4,2015,31053.0,24135.0
MEX,4,2016,31038.0,25855.0
MEX,4,2017,31789.0,27611.0
MEX,4,2018,32864.0,28325.0
MEX,4,2019,32738.0,30508.0
