mpg,cylinders,horsepower,acceleration,model year,origin
18,8,130.00,12,70,1
15,8,165,11.5,70,1
18,8,150,11,70,1
16,8,150,12,70,1
17,8,140,10.5,70,1
15,8,198,10,70,1
14,8,220,9,70,1
14,8,215,8.5,70,1
14,8,225,10,70,1
15,8,190,8.5,70,1
15,8,170,10,70,1
14,8,160,8,70,1
15,8,150,9.5,70,1
14,8,225,10,70,1
24,4,95,15,70,3
22,6,95,15.5,70,1
18,6,97,15.5,70,1
21,6,85,16,70,1
27,4,88,14.5,70,3
26,4,46,20.5,70,2
25,4,87,17.5,70,2
24,4,90,14.5,70,2
25,4,95,17.5,70,2
26,4,113,12.5,70,2
21,6,90,15,70,1
10,8,215,14,70,1
10,8,200,15,70,1
11,8,210,13.5,70,1
9,8,193,18.5,70,1
27,4,88,14.5,71,3
28,4,90,15.5,71,1
25,4,95,14,71,3
19,6,100,13,71,1
16,6,105,15.5,71,1
17,6,100,15.5,71,1
19,6,88,15.5,71,1
18,6,100,15.5,71,1
14,8,165,12,71,1
14,8,175,11.5,71,1
14,8,153,13.5,71,1
14,8,150,13,71,1
12,8,180,11.5,71,1
13,8,170,12,71,1
13,8,175,12,71,1
18,6,110,13.5,71,1
22,4,72,19,71,1
19,6,100,15,71,1
18,6,88,14.5,71,1
23,4,86,14,71,1
28,4,90,14,71,2
30,4,70,19.5,71,2
30,4,76,14.5,71,2
31,4,65,19,71,3
35,4,69,18,71,3
27,4,60,19,71,2
26,4,70,20.5,71,1
24,4,95,15.5,72,3
25,4,80,17,72,1
23,4,54,23.5,72,2
20,4,90,19.5,72,1
21,4,86,16.5,72,1
13,8,165,12,72,1
14,8,175,12,72,1
15,8,150,13.5,72,1
14,8,153,13,72,1
17,8,150,11.5,72,1
11,8,208,11,72,1
13,8,155,13.5,72,1
12,8,160,13.5,72,1
13,8,190,12.5,72,1
19,3,97,13.5,72,3
15,8,150,12.5,72,1
13,8,130,14,72,1
13,8,140,16,72,1
14,8,150,14,72,1
18,4,112,14.5,72,2
22,4,76,18,72,2
21,4,87,19.5,72,2
26,4,69,18,72,2
22,4,86,16,72,1
28,4,92,17,72,3
23,4,97,14.5,72,3
28,4,80,15,72,1
27,4,88,16.5,72,3
13,8,175,13,73,1
14,8,150,11.5,73,1
13,8,145,13,73,1
14,8,137,14.5,73,1
15,8,150,12.5,73,1
12,8,198,11.5,73,1
13,8,150,12,73,1
13,8,158,13,73,1
14,8,150,14.5,73,1
13,8,215,11,73,1
12,8,225,11,73,1
13,8,175,11,73,1
18,6,105,16.5,73,1
16,6,100,18,73,1
18,6,100,16,73,1
18,6,88,16.5,73,1
23,6,95,16,73,1
26,4,46,21,73,2
11,8,150,14,73,1
12,8,167,12.5,73,1
13,8,170,13,73,1
12,8,180,12.5,73,1
18,6,100,15,73,1
20,4,88,19,73,3
21,4,72,19.5,73,1
22,4,94,16.5,73,3
18,3,90,13.5,73,3
19,4,85,18.5,73,1
21,6,107,14,73,1
26,4,90,15.5,73,2
15,8,145,13,73,1
16,8,230,9.5,73,1
29,4,49,19.5,73,2
24,4,75,15.5,73,2
20,4,91,14,73,2
19,4,112,15.5,73,2
15,8,150,11,73,1
24,4,110,14,73,2
20,6,122,13.5,73,3
11,8,180,11,73,1
20,6,95,16.5,74,1
19,6,100,16,74,1
15,6,100,17,74,1
31,4,67,19,74,3
26,4,80,16.5,74,1
32,4,65,21,74,3
25,4,75,17,74,1
16,6,100,17,74,1
16,6,110,18,74,1
18,6,105,16.5,74,1
16,8,140,14,74,1
13,8,150,14.5,74,1
14,8,150,13.5,74,1
14,8,140,16,74,1
14,8,150,15.5,74,1
29,4,83,16.5,74,2
26,4,67,15.5,74,2
26,4,78,14.5,74,2
31,4,52,16.5,74,3
32,4,61,19,74,3
28,4,75,14.5,74,1
24,4,75,15.5,74,2
26,4,75,14,74,2
24,4,97,15,74,3
26,4,93,15.5,74,3
31,4,67,16,74,2
19,6,95,16,75,1
18,6,105,16,75,1
15,6,72,21,75,1
15,6,72,19.5,75,1
16,8,170,11.5,75,1
15,8,145,14,75,1
16,8,150,14.5,75,1
14,8,148,13.5,75,1
17,6,110,21,75,1
16,6,105,18.5,75,1
15,6,110,19,75,1
18,6,95,19,75,1
21,6,110,15,75,1
20,8,110,13.5,75,1
13,8,129,12,75,1
29,4,75,16,75,3
23,4,83,17,75,1
20,6,100,16,75,1
23,4,78,18.5,75,1
24,4,96,13.5,75,3
25,4,71,16.5,75,2
24,4,97,17,75,3
18,6,97,14.5,75,1
29,4,70,14,75,2
19,6,90,17,75,1
23,4,95,15,75,2
23,4,88,17,75,2
22,4,98,14.5,75,2
25,4,115,13.5,75,2
33,4,53,17.5,75,3
28,4,86,15.5,76,2
25,4,81,16.9,76,2
25,4,92,14.9,76,1
26,4,79,17.7,76,1
27,4,83,15.3,76,2
17.5,8,140,13,76,1
16,8,150,13,76,1
15.5,8,120,13.9,76,1
14.5,8,152,12.8,76,1
22,6,100,15.4,76,1
22,6,105,14.5,76,1
24,6,81,17.6,76,1
22.5,6,90,17.6,76,1
29,4,52,22.2,76,1
24.5,4,60,22.1,76,1
29,4,70,14.2,76,2
33,4,53,17.4,76,3
20,6,100,17.7,76,1
18,6,78,21,76,1
18.5,6,110,16.2,76,1
17.5,6,95,17.8,76,1
29.5,4,71,12.2,76,2
32,4,70,17,76,3
28,4,75,16.4,76,3
26.5,4,72,13.6,76,1
20,4,102,15.7,76,2
13,8,150,13.2,76,1
19,4,88,21.9,76,2
19,6,108,15.5,76,3
16.5,6,120,16.7,76,2
16.5,8,180,12.1,76,1
13,8,145,12,76,1
13,8,130,15,76,1
13,8,150,14,76,1
31.5,4,68,18.5,77,3
30,4,80,14.8,77,1
36,4,58,18.6,77,2
25.5,4,96,15.5,77,1
33.5,4,70,16.8,77,3
17.5,8,145,12.5,77,1
17,8,110,19,77,1
15.5,8,145,13.7,77,1
15,8,130,14.9,77,1
17.5,6,110,16.4,77,1
20.5,6,105,16.9,77,1
19,6,100,17.7,77,1
18.5,6,98,19,77,1
16,8,180,11.1,77,1
15.5,8,170,11.4,77,1
15.5,8,190,12.2,77,1
16,8,149,14.5,77,1
29,4,78,14.5,77,2
24.5,4,88,16,77,1
26,4,75,18.2,77,3
25.5,4,89,15.8,77,1
30.5,4,63,17,77,1
33.5,4,83,15.9,77,1
30,4,67,16.4,77,3
30.5,4,78,14.1,77,2
22,6,97,14.5,77,3
21.5,4,110,12.8,77,2
21.5,3,110,13.5,77,3
43.1,4,48,21.5,78,2
36.1,4,66,14.4,78,1
32.8,4,52,19.4,78,3
39.4,4,70,18.6,78,3
36.1,4,60,16.4,78,3
19.9,8,110,15.5,78,1
19.4,8,140,13.2,78,1
20.2,8,139,12.8,78,1
19.2,6,105,19.2,78,1
20.5,6,95,18.2,78,1
20.2,6,85,15.8,78,1
25.1,4,88,15.4,78,1
20.5,6,100,17.2,78,1
19.4,6,90,17.2,78,1
20.6,6,105,15.8,78,1
20.8,6,85,16.7,78,1
18.6,6,110,18.7,78,1
18.1,6,120,15.1,78,1
19.2,8,145,13.2,78,1
17.7,6,165,13.4,78,1
18.1,8,139,11.2,78,1
17.5,8,140,13.7,78,1
30,4,68,16.5,78,1
27.5,4,95,14.2,78,3
27.2,4,97,14.7,78,3
30.9,4,75,14.5,78,1
21.1,4,95,14.8,78,3
23.2,4,105,16.7,78,1
23.8,4,85,17.6,78,1
23.9,4,97,14.9,78,3
20.3,5,103,15.9,78,2
17,6,125,13.6,78,2
21.6,4,115,15.7,78,2
16.2,6,133,15.8,78,2
31.5,4,71,14.9,78,2
29.5,4,68,16.6,78,3
21.5,6,115,15.4,79,1
19.8,6,85,18.2,79,1
22.3,4,88,17.3,79,1
20.2,6,90,18.2,79,1
20.6,6,110,16.6,79,1
17,8,130,15.4,79,1
17.6,8,129,13.4,79,1
16.5,8,138,13.2,79,1
18.2,8,135,15.2,79,1
16.9,8,155,14.9,79,1
15.5,8,142,14.3,79,1
19.2,8,125,15,79,1
18.5,8,150,13,79,1
31.9,4,71,14,79,2
34.1,4,65,15.2,79,3
35.7,4,80,14.4,79,1
27.4,4,80,15,79,1
25.4,5,77,20.1,79,2
23,8,125,17.4,79,1
27.2,4,71,24.8,79,2
23.9,8,90,22.2,79,1
34.2,4,70,13.2,79,1
34.5,4,70,14.9,79,1
31.8,4,65,19.2,79,3
37.3,4,69,14.7,79,2
28.4,4,90,16,79,1
28.8,6,115,11.3,79,1
26.8,6,115,12.9,79,1
33.5,4,90,13.2,79,1
41.5,4,76,14.7,80,2
38.1,4,60,18.8,80,3
32.1,4,70,15.5,80,1
37.2,4,65,16.4,80,3
28,4,90,16.5,80,1
26.4,4,88,18.1,80,1
24.3,4,90,20.1,80,1
19.1,6,90,18.7,80,1
34.3,4,78,15.8,80,2
29.8,4,90,15.5,80,3
31.3,4,75,17.5,80,3
37,4,92,15,80,3
32.2,4,75,15.2,80,3
46.6,4,65,17.9,80,3
27.9,4,105,14.4,80,1
40.8,4,65,19.2,80,3
44.3,4,48,21.7,80,2
43.4,4,48,23.7,80,2
36.4,5,67,19.9,80,2
30,4,67,21.8,80,2
44.6,4,67,13.8,80,3
33.8,4,67,18,80,3
29.8,4,62,15.3,80,2
32.7,6,132,11.4,80,3
23.7,3,100,12.5,80,3
35,4,88,15.1,80,2
32.4,4,72,17,80,3
27.2,4,84,15.7,81,1
26.6,4,84,16.4,81,1
25.8,4,92,14.4,81,1
23.5,6,110,12.6,81,1
30,4,84,12.9,81,1
39.1,4,58,16.9,81,3
39,4,64,16.4,81,1
35.1,4,60,16.1,81,3
32.3,4,67,17.8,81,3
37,4,65,19.4,81,3
37.7,4,62,17.3,81,3
34.1,4,68,16,81,3
34.7,4,63,14.9,81,1
34.4,4,65,16.2,81,1
29.9,4,65,20.7,81,1
33,4,74,14.2,81,2
33.7,4,75,14.4,81,3
32.4,4,75,16.8,81,3
32.9,4,100,14.8,81,3
31.6,4,74,18.3,81,3
28.1,4,80,20.4,81,2
30.7,6,76,19.6,81,2
25.4,6,116,12.6,81,3
24.2,6,120,13.8,81,3
22.4,6,110,15.8,81,1
26.6,8,105,19,81,1
20.2,6,88,17.1,81,1
17.6,6,85,16.6,81,1
28,4,88,19.6,82,1
27,4,88,18.6,82,1
34,4,88,18,82,1
31,4,85,16.2,82,1
29,4,84,16,82,1
27,4,90,18,82,1
24,4,92,16.4,82,1
36,4,74,15.3,82,2
37,4,68,18.2,82,3
31,4,68,17.6,82,3
38,4,63,14.7,82,1
36,4,70,17.3,82,1
36,4,88,14.5,82,3
36,4,75,14.5,82,3
34,4,70,16.9,82,3
38,4,67,15,82,3
32,4,67,15.7,82,3
38,4,67,16.2,82,3
25,6,110,16.4,82,1
38,6,85,17,82,1
26,4,92,14.5,82,1
22,6,112,14.7,82,1
32,4,96,13.9,82,3
36,4,84,13,82,1
27,4,90,17.3,82,1
27,4,86,15.6,82,1
44,4,52,24.6,82,2
32,4,84,11.6,82,1
28,4,79,18.6,82,1
31,4,82,19.4,82,1