mpg,cylinders,horsepower,acceleration,model year,origin
18.0,8,130.0,12.0,70,1
15.0,8,165.0,11.5,70,1
18.0,8,150.0,11.0,70,1
16.0,8,150.0,12.0,70,1
17.0,8,140.0,10.5,70,1
15.0,8,198.0,10.0,70,1
14.0,8,220.0,9.0,70,1
14.0,8,215.0,8.5,70,1
14.0,8,225.0,10.0,70,1
15.0,8,190.0,8.5,70,1
15.0,8,170.0,10.0,70,1
14.0,8,160.0,8.0,70,1
15.0,8,150.0,9.5,70,1
14.0,8,225.0,10.0,70,1
24.0,4,95.0,15.0,70,3
22.0,6,95.0,15.5,70,1
18.0,6,97.0,15.5,70,1
21.0,6,85.0,16.0,70,1
27.0,4,88.0,14.5,70,3
26.0,4,46.0,20.5,70,2
25.0,4,87.0,17.5,70,2
24.0,4,90.0,14.5,70,2
25.0,4,95.0,17.5,70,2
26.0,4,113.0,12.5,70,2
21.0,6,90.0,15.0,70,1
10.0,8,215.0,14.0,70,1
10.0,8,200.0,15.0,70,1
11.0,8,210.0,13.5,70,1
9.0,8,193.0,18.5,70,1
27.0,4,88.0,14.5,71,3
28.0,4,90.0,15.5,71,1
25.0,4,95.0,14.0,71,3
19.0,6,100.0,13.0,71,1
16.0,6,105.0,15.5,71,1
17.0,6,100.0,15.5,71,1
19.0,6,88.0,15.5,71,1
18.0,6,100.0,15.5,71,1
14.0,8,165.0,12.0,71,1
14.0,8,175.0,11.5,71,1
14.0,8,153.0,13.5,71,1
14.0,8,150.0,13.0,71,1
12.0,8,180.0,11.5,71,1
13.0,8,170.0,12.0,71,1
13.0,8,175.0,12.0,71,1
18.0,6,110.0,13.5,71,1
22.0,4,72.0,19.0,71,1
19.0,6,100.0,15.0,71,1
18.0,6,88.0,14.5,71,1
23.0,4,86.0,14.0,71,1
28.0,4,90.0,14.0,71,2
30.0,4,70.0,19.5,71,2
30.0,4,76.0,14.5,71,2
31.0,4,65.0,19.0,71,3
35.0,4,69.0,18.0,71,3
27.0,4,60.0,19.0,71,2
26.0,4,70.0,20.5,71,1
24.0,4,95.0,15.5,72,3
25.0,4,80.0,17.0,72,1
23.0,4,54.0,23.5,72,2
20.0,4,90.0,19.5,72,1
21.0,4,86.0,16.5,72,1
13.0,8,165.0,12.0,72,1
14.0,8,175.0,12.0,72,1
15.0,8,150.0,13.5,72,1
14.0,8,153.0,13.0,72,1
17.0,8,150.0,11.5,72,1
11.0,8,208.0,11.0,72,1
13.0,8,155.0,13.5,72,1
12.0,8,160.0,13.5,72,1
13.0,8,190.0,12.5,72,1
19.0,3,97.0,13.5,72,3
15.0,8,150.0,12.5,72,1
13.0,8,130.0,14.0,72,1
13.0,8,140.0,16.0,72,1
14.0,8,150.0,14.0,72,1
18.0,4,112.0,14.5,72,2
22.0,4,76.0,18.0,72,2
21.0,4,87.0,19.5,72,2
26.0,4,69.0,18.0,72,2
22.0,4,86.0,16.0,72,1
28.0,4,92.0,17.0,72,3
23.0,4,97.0,14.5,72,3
28.0,4,80.0,15.0,72,1
27.0,4,88.0,16.5,72,3
13.0,8,175.0,13.0,73,1
14.0,8,150.0,11.5,73,1
13.0,8,145.0,13.0,73,1
14.0,8,137.0,14.5,73,1
15.0,8,150.0,12.5,73,1
12.0,8,198.0,11.5,73,1
13.0,8,150.0,12.0,73,1
13.0,8,158.0,13.0,73,1
14.0,8,150.0,14.5,73,1
13.0,8,215.0,11.0,73,1
12.0,8,225.0,11.0,73,1
13.0,8,175.0,11.0,73,1
18.0,6,105.0,16.5,73,1
16.0,6,100.0,18.0,73,1
18.0,6,100.0,16.0,73,1
18.0,6,88.0,16.5,73,1
23.0,6,95.0,16.0,73,1
26.0,4,46.0,21.0,73,2
11.0,8,150.0,14.0,73,1
12.0,8,167.0,12.5,73,1
13.0,8,170.0,13.0,73,1
12.0,8,180.0,12.5,73,1
18.0,6,100.0,15.0,73,1
20.0,4,88.0,19.0,73,3
21.0,4,72.0,19.5,73,1
22.0,4,94.0,16.5,73,3
18.0,3,90.0,13.5,73,3
19.0,4,85.0,18.5,73,1
21.0,6,107.0,14.0,73,1
26.0,4,90.0,15.5,73,2
15.0,8,145.0,13.0,73,1
16.0,8,230.0,9.5,73,1
29.0,4,49.0,19.5,73,2
24.0,4,75.0,15.5,73,2
20.0,4,91.0,14.0,73,2
19.0,4,112.0,15.5,73,2
15.0,8,150.0,11.0,73,1
24.0,4,110.0,14.0,73,2
20.0,6,122.0,13.5,73,3
11.0,8,180.0,11.0,73,1
20.0,6,95.0,16.5,74,1
19.0,6,100.0,16.0,74,1
15.0,6,100.0,17.0,74,1
31.0,4,67.0,19.0,74,3
26.0,4,80.0,16.5,74,1
32.0,4,65.0,21.0,74,3
25.0,4,75.0,17.0,74,1
16.0,6,100.0,17.0,74,1
16.0,6,110.0,18.0,74,1
18.0,6,105.0,16.5,74,1
16.0,8,140.0,14.0,74,1
13.0,8,150.0,14.5,74,1
14.0,8,150.0,13.5,74,1
14.0,8,140.0,16.0,74,1
14.0,8,150.0,15.5,74,1
29.0,4,83.0,16.5,74,2
26.0,4,67.0,15.5,74,2
26.0,4,78.0,14.5,74,2
31.0,4,52.0,16.5,74,3
32.0,4,61.0,19.0,74,3
28.0,4,75.0,14.5,74,1
24.0,4,75.0,15.5,74,2
26.0,4,75.0,14.0,74,2
24.0,4,97.0,15.0,74,3
26.0,4,93.0,15.5,74,3
31.0,4,67.0,16.0,74,2
19.0,6,95.0,16.0,75,1
18.0,6,105.0,16.0,75,1
15.0,6,72.0,21.0,75,1
15.0,6,72.0,19.5,75,1
16.0,8,170.0,11.5,75,1
15.0,8,145.0,14.0,75,1
16.0,8,150.0,14.5,75,1
14.0,8,148.0,13.5,75,1
17.0,6,110.0,21.0,75,1
16.0,6,105.0,18.5,75,1
15.0,6,110.0,19.0,75,1
18.0,6,95.0,19.0,75,1
21.0,6,110.0,15.0,75,1
20.0,8,110.0,13.5,75,1
13.0,8,129.0,12.0,75,1
29.0,4,75.0,16.0,75,3
23.0,4,83.0,17.0,75,1
20.0,6,100.0,16.0,75,1
23.0,4,78.0,18.5,75,1
24.0,4,96.0,13.5,75,3
25.0,4,71.0,16.5,75,2
24.0,4,97.0,17.0,75,3
18.0,6,97.0,14.5,75,1
29.0,4,70.0,14.0,75,2
19.0,6,90.0,17.0,75,1
23.0,4,95.0,15.0,75,2
23.0,4,88.0,17.0,75,2
22.0,4,98.0,14.5,75,2
25.0,4,115.0,13.5,75,2
33.0,4,53.0,17.5,75,3
28.0,4,86.0,15.5,76,2
25.0,4,81.0,16.9,76,2
25.0,4,92.0,14.9,76,1
26.0,4,79.0,17.7,76,1
27.0,4,83.0,15.3,76,2
17.5,8,140.0,13.0,76,1
16.0,8,150.0,13.0,76,1
15.5,8,120.0,13.9,76,1
14.5,8,152.0,12.8,76,1
22.0,6,100.0,15.4,76,1
22.0,6,105.0,14.5,76,1
24.0,6,81.0,17.6,76,1
22.5,6,90.0,17.6,76,1
29.0,4,52.0,22.2,76,1
24.5,4,60.0,22.1,76,1
29.0,4,70.0,14.2,76,2
33.0,4,53.0,17.4,76,3
20.0,6,100.0,17.7,76,1
18.0,6,78.0,21.0,76,1
18.5,6,110.0,16.2,76,1
17.5,6,95.0,17.8,76,1
29.5,4,71.0,12.2,76,2
32.0,4,70.0,17.0,76,3
28.0,4,75.0,16.4,76,3
26.5,4,72.0,13.6,76,1
20.0,4,102.0,15.7,76,2
13.0,8,150.0,13.2,76,1
19.0,4,88.0,21.9,76,2
19.0,6,108.0,15.5,76,3
16.5,6,120.0,16.7,76,2
16.5,8,180.0,12.1,76,1
13.0,8,145.0,12.0,76,1
13.0,8,130.0,15.0,76,1
13.0,8,150.0,14.0,76,1
31.5,4,68.0,18.5,77,3
30.0,4,80.0,14.8,77,1
36.0,4,58.0,18.6,77,2
25.5,4,96.0,15.5,77,1
33.5,4,70.0,16.8,77,3
17.5,8,145.0,12.5,77,1
17.0,8,110.0,19.0,77,1
15.5,8,145.0,13.7,77,1
15.0,8,130.0,14.9,77,1
17.5,6,110.0,16.4,77,1
20.5,6,105.0,16.9,77,1
19.0,6,100.0,17.7,77,1
18.5,6,98.0,19.0,77,1
16.0,8,180.0,11.1,77,1
15.5,8,170.0,11.4,77,1
15.5,8,190.0,12.2,77,1
16.0,8,149.0,14.5,77,1
29.0,4,78.0,14.5,77,2
24.5,4,88.0,16.0,77,1
26.0,4,75.0,18.2,77,3
25.5,4,89.0,15.8,77,1
30.5,4,63.0,17.0,77,1
33.5,4,83.0,15.9,77,1
30.0,4,67.0,16.4,77,3
30.5,4,78.0,14.1,77,2
22.0,6,97.0,14.5,77,3
21.5,4,110.0,12.8,77,2
21.5,3,110.0,13.5,77,3
43.1,4,48.0,21.5,78,2
36.1,4,66.0,14.4,78,1
32.8,4,52.0,19.4,78,3
39.4,4,70.0,18.6,78,3
36.1,4,60.0,16.4,78,3
19.9,8,110.0,15.5,78,1
19.4,8,140.0,13.2,78,1
20.2,8,139.0,12.8,78,1
19.2,6,105.0,19.2,78,1
20.5,6,95.0,18.2,78,1
20.2,6,85.0,15.8,78,1
25.1,4,88.0,15.4,78,1
20.5,6,100.0,17.2,78,1
19.4,6,90.0,17.2,78,1
20.6,6,105.0,15.8,78,1
20.8,6,85.0,16.7,78,1
18.6,6,110.0,18.7,78,1
18.1,6,120.0,15.1,78,1
19.2,8,145.0,13.2,78,1
17.7,6,165.0,13.4,78,1
18.1,8,139.0,11.2,78,1
17.5,8,140.0,13.7,78,1
30.0,4,68.0,16.5,78,1
27.5,4,95.0,14.2,78,3
27.2,4,97.0,14.7,78,3
30.9,4,75.0,14.5,78,1
21.1,4,95.0,14.8,78,3
23.2,4,105.0,16.7,78,1
23.8,4,85.0,17.6,78,1
23.9,4,97.0,14.9,78,3
20.3,5,103.0,15.9,78,2
17.0,6,125.0,13.6,78,2
21.6,4,115.0,15.7,78,2
16.2,6,133.0,15.8,78,2
31.5,4,71.0,14.9,78,2
29.5,4,68.0,16.6,78,3
21.5,6,115.0,15.4,79,1
19.8,6,85.0,18.2,79,1
22.3,4,88.0,17.3,79,1
20.2,6,90.0,18.2,79,1
20.6,6,110.0,16.6,79,1
17.0,8,130.0,15.4,79,1
17.6,8,129.0,13.4,79,1
16.5,8,138.0,13.2,79,1
18.2,8,135.0,15.2,79,1
16.9,8,155.0,14.9,79,1
15.5,8,142.0,14.3,79,1
19.2,8,125.0,15.0,79,1
18.5,8,150.0,13.0,79,1
31.9,4,71.0,14.0,79,2
34.1,4,65.0,15.2,79,3
35.7,4,80.0,14.4,79,1
27.4,4,80.0,15.0,79,1
25.4,5,77.0,20.1,79,2
23.0,8,125.0,17.4,79,1
27.2,4,71.0,24.8,79,2
23.9,8,90.0,22.2,79,1
34.2,4,70.0,13.2,79,1
34.5,4,70.0,14.9,79,1
31.8,4,65.0,19.2,79,3
37.3,4,69.0,14.7,79,2
28.4,4,90.0,16.0,79,1
28.8,6,115.0,11.3,79,1
26.8,6,115.0,12.9,79,1
33.5,4,90.0,13.2,79,1
41.5,4,76.0,14.7,80,2
38.1,4,60.0,18.8,80,3
32.1,4,70.0,15.5,80,1
37.2,4,65.0,16.4,80,3
28.0,4,90.0,16.5,80,1
26.4,4,88.0,18.1,80,1
24.3,4,90.0,20.1,80,1
19.1,6,90.0,18.7,80,1
34.3,4,78.0,15.8,80,2
29.8,4,90.0,15.5,80,3
31.3,4,75.0,17.5,80,3
37.0,4,92.0,15.0,80,3
32.2,4,75.0,15.2,80,3
46.6,4,65.0,17.9,80,3
27.9,4,105.0,14.4,80,1
40.8,4,65.0,19.2,80,3
44.3,4,48.0,21.7,80,2
43.4,4,48.0,23.7,80,2
36.4,5,67.0,19.9,80,2
30.0,4,67.0,21.8,80,2
44.6,4,67.0,13.8,80,3
33.8,4,67.0,18.0,80,3
29.8,4,62.0,15.3,80,2
32.7,6,132.0,11.4,80,3
23.7,3,100.0,12.5,80,3
35.0,4,88.0,15.1,80,2
32.4,4,72.0,17.0,80,3
27.2,4,84.0,15.7,81,1
26.6,4,84.0,16.4,81,1
25.8,4,92.0,14.4,81,1
23.5,6,110.0,12.6,81,1
30.0,4,84.0,12.9,81,1
39.1,4,58.0,16.9,81,3
39.0,4,64.0,16.4,81,1
35.1,4,60.0,16.1,81,3
32.3,4,67.0,17.8,81,3
37.0,4,65.0,19.4,81,3
37.7,4,62.0,17.3,81,3
34.1,4,68.0,16.0,81,3
34.7,4,63.0,14.9,81,1
34.4,4,65.0,16.2,81,1
29.9,4,65.0,20.7,81,1
33.0,4,74.0,14.2,81,2
33.7,4,75.0,14.4,81,3
32.4,4,75.0,16.8,81,3
32.9,4,100.0,14.8,81,3
31.6,4,74.0,18.3,81,3
28.1,4,80.0,20.4,81,2
30.7,6,76.0,19.6,81,2
25.4,6,116.0,12.6,81,3
24.2,6,120.0,13.8,81,3
22.4,6,110.0,15.8,81,1
26.6,8,105.0,19.0,81,1
20.2,6,88.0,17.1,81,1
17.6,6,85.0,16.6,81,1
28.0,4,88.0,19.6,82,1
27.0,4,88.0,18.6,82,1
34.0,4,88.0,18.0,82,1
31.0,4,85.0,16.2,82,1
29.0,4,84.0,16.0,82,1
27.0,4,90.0,18.0,82,1
24.0,4,92.0,16.4,82,1
36.0,4,74.0,15.3,82,2
37.0,4,68.0,18.2,82,3
31.0,4,68.0,17.6,82,3
38.0,4,63.0,14.7,82,1
36.0,4,70.0,17.3,82,1
36.0,4,88.0,14.5,82,3
36.0,4,75.0,14.5,82,3
34.0,4,70.0,16.9,82,3
38.0,4,67.0,15.0,82,3
32.0,4,67.0,15.7,82,3
38.0,4,67.0,16.2,82,3
25.0,6,110.0,16.4,82,1
38.0,6,85.0,17.0,82,1
26.0,4,92.0,14.5,82,1
22.0,6,112.0,14.7,82,1
32.0,4,96.0,13.9,82,3
36.0,4,84.0,13.0,82,1
27.0,4,90.0,17.3,82,1
27.0,4,86.0,15.6,82,1
44.0,4,52.0,24.6,82,2
32.0,4,84.0,11.6,82,1
28.0,4,79.0,18.6,82,1
31.0,4,82.0,19.4,82,1
