date,total_cases,new_cases,total_deaths,new_deaths,icu_patients,hosp_patients
2020-01-22,1,0,0,0,0,0
2020-01-23,1,0,0,0,0,0
2020-01-24,2,1,0,0,0,0
2020-01-25,2,0,0,0,0,0
2020-01-26,5,3,0,0,0,0
2020-01-27,5,0,0,0,0,0
2020-01-28,5,0,0,0,0,0
2020-01-29,6,1,0,0,0,0
2020-01-30,6,0,0,0,0,0
2020-01-31,8,2,0,0,0,0
2020-02-01,8,0,0,0,0,0
2020-02-02,8,0,0,0,0,0
2020-02-03,11,3,0,0,0,0
2020-02-04,11,0,0,0,0,0
2020-02-05,11,0,0,0,0,0
2020-02-06,12,1,0,0,0,0
2020-02-07,12,0,0,0,0,0
2020-02-08,12,0,0,0,0,0
2020-02-09,12,0,0,0,0,0
2020-02-10,12,0,0,0,0,0
2020-02-11,13,1,0,0,0,0
2020-02-12,13,0,0,0,0,0
2020-02-13,14,1,0,0,0,0
2020-02-14,14,0,0,0,0,0
2020-02-15,14,0,0,0,0,0
2020-02-16,14,0,0,0,0,0
2020-02-17,14,0,0,0,0,0
2020-02-18,14,0,0,0,0,0
2020-02-19,14,0,0,0,0,0
2020-02-20,14,0,0,0,0,0
2020-02-21,16,2,0,0,0,0
2020-02-22,16,0,0,0,0,0
2020-02-23,16,0,0,0,0,0
2020-02-24,16,0,0,0,0,0
2020-02-25,16,0,0,0,0,0
2020-02-26,16,0,0,0,0,0
2020-02-27,17,1,0,0,0,0
2020-02-28,17,0,0,0,0,0
2020-02-29,25,8,1,1,0,0
2020-03-01,32,7,1,0,0,0
2020-03-02,55,23,6,5,0,0
2020-03-03,74,19,7,1,0,0
2020-03-04,107,33,11,4,0,0
2020-03-05,184,77,12,1,0,0
2020-03-06,237,53,14,2,0,0
2020-03-07,403,166,17,3,0,0
2020-03-08,519,116,21,4,0,0
2020-03-09,594,75,22,1,0,0
2020-03-10,782,188,28,6,0,0
2020-03-11,1147,365,33,5,0,0
2020-03-12,1586,439,43,10,0,0
2020-03-13,2219,633,51,8,0,0
2020-03-14,2978,759,58,7,0,0
2020-03-15,3212,234,70,12,0,0
2020-03-16,4679,1467,97,27,0,0
2020-03-17,6512,1833,134,37,0,0
2020-03-18,9169,2657,194,60,0,0
2020-03-19,13663,4494,266,72,0,0
2020-03-20,20030,6367,372,106,0,0
2020-03-21,26025,5995,475,103,0,0
2020-03-22,34944,8919,603,128,0,0
2020-03-23,46096,11152,790,187,0,0
2020-03-24,56714,10618,1033,243,0,0
2020-03-25,68841,12127,1366,333,0,0
2020-03-26,86662,17821,1783,417,0,0
2020-03-27,105253,18591,2305,522,0,0
2020-03-28,127417,22164,3018,713,0,0
2020-03-29,143544,16127,3573,555,0,0
2020-03-30,165698,22154,4280,707,0,0
2020-03-31,192079,26381,5359,1079,0,0
2020-04-01,224281,32202,6635,1276,0,0
2020-04-02,256626,32345,8146,1511,0,0
2020-04-03,288993,32367,9566,1420,0,0
2020-04-04,321379,32386,11172,1606,0,0
2020-04-05,350713,29334,12790,1618,0,0
2020-04-06,382646,31933,14523,1733,0,0
2020-04-07,413222,30576,17099,2576,0,0
2020-04-08,444341,31119,19250,2151,0,0
2020-04-09,480413,36072,21463,2213,0,0
2020-04-10,514690,34277,23649,2186,0,0
2020-04-11,543878,29188,25790,2141,0,0
2020-04-12,570812,26934,27679,1889,0,0
2020-04-13,597803,26991,29657,1978,0,0
2020-04-14,626217,28414,32132,2475,0,0
2020-04-15,652179,25962,34719,2587,0,0
2020-04-16,682442,30263,36908,2189,0,0
2020-04-17,715446,33004,39007,2099,0,0
2020-04-18,743379,27933,40951,1944,0,0
2020-04-19,769251,25872,42934,1983,0,0
2020-04-20,799039,29788,45179,2245,0,0
2020-04-21,825257,26218,47662,2483,0,0
2020-04-22,854328,29071,50119,2457,0,0
2020-04-23,887581,33253,52543,2424,0,0
2020-04-24,919920,32339,54712,2169,0,0
2020-04-25,950298,30378,56444,1732,0,0
2020-04-26,976871,26573,57850,1406,0,0
2020-04-27,1000666,23795,59330,1480,0,0
2020-04-28,1025354,24688,61571,2241,0,0
2020-04-29,1051785,26431,63962,2391,0,0
2020-04-30,1080942,29157,66154,2192,0,0
2020-05-01,1115844,34902,68063,1909,0,0
2020-05-02,1143248,27404,69804,1741,0,0
2020-05-03,1167577,24329,71007,1203,0,0
2020-05-04,1191815,24238,72365,1358,0,0
2020-05-05,1216263,24448,74586,2221,0,0
2020-05-06,1240643,24380,76905,2319,0,0
2020-05-07,1268262,27619,78822,1917,0,0
2020-05-08,1295396,27134,80594,1772,0,0
2020-05-09,1320096,24700,82058,1464,0,0
2020-05-10,1339110,19014,83059,1001,0,0
2020-05-11,1358249,19139,84093,1034,0,0
2020-05-12,1381136,22887,85684,1591,0,0
2020-05-13,1401652,20516,87416,1732,0,0
2020-05-14,1428388,26736,89197,1781,0,0
2020-05-15,1453085,24697,90862,1665,0,0
2020-05-16,1477370,24285,92060,1198,0,0
2020-05-17,1496009,18639,92891,831,0,0
2020-05-18,1518223,22214,94110,1219,0,0
2020-05-19,1539142,20919,95555,1445,0,0
2020-05-20,1561937,22795,97052,1497,0,0
2020-05-21,1587724,25787,98246,1194,0,0
2020-05-22,1611383,23659,99450,1204,0,0
2020-05-23,1632503,21120,100524,1074,0,0
2020-05-24,1652809,20306,101165,641,0,0
2020-05-25,1671298,18489,101762,597,0,0
2020-05-26,1690282,18984,102418,656,0,0
2020-05-27,1709756,19474,103896,1478,0,0
2020-05-28,1731479,21723,104985,1089,0,0
2020-05-29,1756127,24648,106103,1118,0,0
2020-05-30,1780340,24213,107053,950,0,0
2020-05-31,1799674,19334,107674,621,0,0
2020-06-01,1816679,17005,108445,771,0,0
2020-06-02,1837948,21269,109428,983,0,0
2020-06-03,1857728,19780,110437,1009,0,0
2020-06-04,1879463,21735,111443,1006,0,0
2020-06-05,1904375,24912,112321,878,0,0
2020-06-06,1925849,21474,112958,637,0,0
2020-06-07,1944117,18268,113415,457,0,0
2020-06-08,1960815,16698,113926,511,0,0
2020-06-09,1978823,18008,114840,914,0,0
2020-06-10,2000019,21196,115716,876,0,0
2020-06-11,2022421,22402,116532,816,0,0
2020-06-12,2047570,25149,117355,823,0,0
2020-06-13,2072696,25126,118077,722,0,0
2020-06-14,2092027,19331,118424,347,0,0
2020-06-15,2110610,18583,118825,401,0,0
2020-06-16,2134511,23901,119612,787,0,0
2020-06-17,2161726,27215,120360,748,0,0
2020-06-18,2190127,28401,121058,698,0,0
2020-06-19,2221812,31685,121684,626,0,0
2020-06-20,2254346,32534,122257,573,0,0
2020-06-21,2280413,26067,122574,317,0,0
2020-06-22,2311569,31156,122952,378,0,0
2020-06-23,2348835,37266,123691,739,0,0
2020-06-24,2385047,36212,124446,755,0,0
2020-06-25,2425307,40260,124994,548,0,0
2020-06-26,2471626,46319,125620,626,0,0
2020-06-27,2513324,41698,126116,496,0,0
2020-06-28,2555120,41796,126437,321,0,0
2020-06-29,2594820,39700,126806,369,0,0
2020-06-30,2643189,48369,127365,559,0,0
2020-07-01,2694755,51566,128063,698,0,0
2020-07-02,2751125,56370,128802,739,0,0
2020-07-03,2803742,52617,129479,677,0,0
2020-07-04,2852097,48355,129781,302,0,0
2020-07-05,2902901,50804,130103,322,0,0
2020-07-06,2945635,42734,130474,371,0,0
2020-07-07,3004763,59128,131616,1142,0,0
2020-07-08,3064408,59645,132457,841,0,0
2020-07-09,3125361,60953,133488,1031,0,0
2020-07-10,3193162,67801,134304,816,0,0
2020-07-11,3254420,61258,135058,754,0,0
2020-07-12,3314447,60027,135531,473,0,0
2020-07-13,3372312,57865,135966,435,0,0
2020-07-14,3439203,66891,136862,896,0,0
2020-07-15,3507141,67938,137827,965,9245,33755
2020-07-16,3583185,76044,138788,961,9797,38532
2020-07-17,3654728,71543,139703,915,10700,40057
2020-07-18,3719067,64339,140585,882,10963,40372
2020-07-19,3780322,61255,141061,476,10271,37895
2020-07-20,3840822,60500,141590,529,11291,41136
2020-07-21,3906368,65546,142686,1096,11458,42192
2020-07-22,3976745,70377,143911,1225,12487,46104
2020-07-23,4045477,68732,144997,1086,13910,47824
2020-07-24,4119112,73635,146091,1094,13623,46734
2020-07-25,4185260,66148,147060,969,14398,51815
2020-07-26,4241586,56326,147594,534,12400,43278
2020-07-27,4298445,56859,148694,1100,14233,47176
2020-07-28,4361582,63137,149916,1222,14583,48118
2020-07-29,4430540,68958,151356,1440,14025,45624
2020-07-30,4498479,67939,152645,1289,14659,46849
2020-07-31,4566893,68414,153828,1183,14609,46167
2020-08-01,4625291,58398,154947,1119,14400,50420
2020-08-02,4671745,46454,155404,457,14053,50239
2020-08-03,4716928,45183,155963,559,14250,45312
2020-08-04,4772196,55268,157218,1255,14119,45147
2020-08-05,4827722,55526,158626,1408,14062,44671
2020-08-06,4885263,57541,159807,1181,13885,43884
2020-08-07,4945685,60422,161098,1291,13767,43210
2020-08-08,5000791,55106,162185,1087,13356,41591
2020-08-09,5048937,48146,162757,572,13163,41479
2020-08-10,5094834,45897,163274,517,13183,42081
2020-08-11,5147207,52373,164371,1097,13060,41657
2020-08-12,5199935,52728,165886,1515,12870,41826
2020-08-13,5251365,51430,166924,1038,12680,41260
2020-08-14,5316662,65297,168233,1309,12516,40001
2020-08-15,5366010,49348,169278,1045,12246,38704
2020-08-16,5405920,39910,169886,608,11991,38855
2020-08-17,5441722,35802,170355,469,11971,39055
2020-08-18,5484630,42908,171578,1223,11960,38909
2020-08-19,5529064,44434,172865,1287,11575,38016
2020-08-20,5573641,44577,173972,1107,11266,37331
2020-08-21,5622409,48768,175073,1101,11030,35987
2020-08-22,5666754,44345,176052,979,10779,34889
2020-08-23,5701239,34485,176547,495,10738,34610
2020-08-24,5736144,34905,176989,442,10696,34802
2020-08-25,5776999,40855,178223,1234,10608,34494
2020-08-26,5820948,43949,179401,1178,10388,33634
2020-08-27,5866912,45964,180516,1115,9909,33295
2020-08-28,5913422,46510,181457,941,9887,31908
2020-08-29,5957630,44208,182440,983,9697,31178
2020-08-30,5992432,34802,182889,449,9549,31074
2020-08-31,6025133,32701,183383,494,9513,31403
2020-09-01,6067946,42813,184444,1061,9477,31126
2020-09-02,6108636,40690,185496,1052,9367,30842
2020-09-03,6152970,44334,186527,1031,9238,30319
2020-09-04,6203641,50671,187506,979,9231,29897
2020-09-05,6247027,43386,188326,820,9091,28849
2020-09-06,6278004,30977,188766,440,9010,28373
2020-09-07,6301844,23840,189086,320,8974,28588
2020-09-08,6327470,25626,189554,468,8974,28961
2020-09-09,6362070,34600,190659,1105,8787,28784
2020-09-10,6398009,35939,191583,924,8592,28033
2020-09-11,6445976,47967,192739,1156,8532,27373
2020-09-12,6487670,41694,193488,749,8312,26513
2020-09-13,6522112,34442,193888,400,8261,26332
2020-09-14,6555360,33248,194311,423,8267,26794
2020-09-15,6594822,39462,195513,1202,8161,26945
2020-09-16,6633728,38906,196468,955,8075,26383
2020-09-17,6678930,45202,197334,866,8026,26095
2020-09-18,6728073,49143,198294,960,7971,25842
2020-09-19,6770652,42579,199005,711,7834,25491
2020-09-20,6809529,38877,199275,270,7842,25553
2020-09-21,6860252,50723,199688,413,7857,26386
2020-09-22,6900323,40071,200723,1035,7862,26440
2020-09-23,6939234,38911,201788,1065,7861,26483
2020-09-24,6986603,47369,202695,907,7830,26406
2020-09-25,7034970,48367,203610,915,7813,26274
2020-09-26,7079901,44931,204393,783,7796,25903
2020-09-27,7117963,38062,204705,312,8067,25970
2020-09-28,7150630,32667,205046,341,7915,27020
2020-09-29,7194194,43564,205948,902,8043,27506
2020-09-30,7233294,39100,206880,932,8070,27668
2020-10-01,7279272,45978,207796,916,8005,27473
2020-10-02,7334418,55146,208637,841,7957,27406
2020-10-03,7383899,49481,209323,686,7964,27268
2020-10-04,7419442,35543,209692,369,8119,27868
2020-10-05,7457757,38315,210174,482,8332,28950
2020-10-06,7503140,45383,210875,701,8569,29988
2020-10-07,7554267,51127,211794,919,8638,30534
2020-10-08,7613291,59024,212776,982,8624,31008
2020-10-09,7669967,56676,213749,973,8723,31207
2020-10-10,7725456,55489,214409,660,8730,30984
2020-10-11,7772121,46665,214876,467,8819,31437
2020-10-12,7813698,41577,215274,398,9057,32782
2020-10-13,7865263,51565,216051,777,9411,33505
2020-10-14,7924557,59294,217050,999,9291,33903
2020-10-15,7989616,65059,217895,845,9478,34385
2020-10-16,8058746,69130,218838,943,9538,34638
2020-10-17,8116053,57307,219658,820,9516,34316
2020-10-18,8166861,50808,220121,463,9725,35008
2020-10-19,8233937,67076,220611,490,10075,36434
2020-10-20,8295638,61701,221548,937,10214,37404
2020-10-21,8358792,63154,222722,1174,10453,38147
2020-10-22,8434997,76205,223579,857,10648,38838
2020-10-23,8517523,82526,224529,950,10712,39076
2020-10-24,8600811,83288,225492,963,10711,39338
2020-10-25,8663123,62312,225950,458,10853,39981
2020-10-26,8729835,66712,226472,522,11110,41326
2020-10-27,8806856,77021,227483,1011,11431,42270
2020-10-28,8886178,79322,228517,1034,11648,43438
2020-10-29,8977159,90981,229520,1003,11824,44172
2020-10-30,9077231,100072,230584,1064,11853,45121
2020-10-31,9167578,90347,231515,931,11887,45095
2020-11-01,9272790,105212,232018,503,12131,46099
2020-11-02,9356848,84058,232575,557,12594,47981
2020-11-03,9484593,127745,234172,1597,12909,49058
2020-11-04,9588703,104110,235292,1120,13003,50464
2020-11-05,9718587,129884,236457,1165,13228,51777
2020-11-06,9846464,127877,237671,1214,13357,52835
2020-11-07,9977772,131308,238788,1117,13479,53814
2020-11-08,10092536,114764,239351,563,14008,55708
2020-11-09,10211856,119320,240110,759,14409,58478
2020-11-10,10351878,140022,241526,1416,14835,61414
2020-11-11,10500000,148122,242969,1443,15116,63325
2020-11-12,10662955,162955,244173,1204,15594,65210
2020-11-13,10843985,181030,245373,1200,15868,66130
2020-11-14,11015041,171056,246746,1373,16238,67214
2020-11-15,11152060,137019,247534,788,16808,69513
2020-11-16,11312847,160787,248348,814,17538,73098
2020-11-17,11476626,163779,250057,1709,18088,75496
2020-11-18,11650148,173522,251999,1942,18331,77317
2020-11-19,11841871,191723,254041,2042,18742,78340
2020-11-20,12043059,201188,255990,1949,18916,79732
2020-11-21,12223927,180868,257628,1638,19091,79855
2020-11-22,12370147,146220,258689,1061,19658,81790
2020-11-23,12543324,173177,259762,1073,20176,84170
2020-11-24,12720653,177329,261898,2136,20572,86034
2020-11-25,12905298,184645,264151,2253,20831,87116
2020-11-26,13021515,116217,265554,1403,21025,86545
2020-11-27,13226451,204936,267106,1552,21327,88095
2020-11-28,13384075,157624,268464,1358,21483,89595
2020-11-29,13524480,140405,269515,1051,21919,92444
2020-11-30,13681218,156738,270827,1312,22500,95092
2020-12-01,13875057,193839,273379,2552,22868,96669
2020-12-02,14079202,204145,276209,2830,22962,97833
2020-12-03,14303710,224508,279178,2969,23043,97842
2020-12-04,14538416,234706,281790,2612,23123,98132
2020-12-05,14759133,220717,284180,2390,23172,97239
2020-12-06,14937723,178590,285583,1403,23435,98648
2020-12-07,15129267,191544,287142,1559,23892,101021
2020-12-08,15359791,230524,289725,2583,24197,102300
2020-12-09,15581327,221536,292906,3181,24612,104369
2020-12-10,15815581,234254,295892,2986,24636,105044
2020-12-11,16056302,240721,299273,3381,24747,105647
2020-12-12,16276348,220046,301806,2533,24634,105350
2020-12-13,16463227,186879,303465,1659,25074,107394
2020-12-14,16665174,201947,305114,1649,25560,109682
2020-12-15,16886630,221456,308101,2987,25812,110991
2020-12-16,17127062,240432,311834,3733,25974,112002
2020-12-17,17364595,237533,315284,3450,25894,112440
2020-12-18,17613077,248482,318226,2942,25950,112110
2020-12-19,17814222,201145,320980,2754,25805,111083
2020-12-20,17999527,185305,322749,1769,26057,112397
2020-12-21,18190799,191272,324546,1797,26431,114642
2020-12-22,18392024,201225,327844,3298,26730,117518
2020-12-23,18617449,225425,331223,3379,26928,118099
2020-12-24,18822709,205260,334145,2922,26714,116268
2020-12-25,18930694,107985,335650,1505,26559,113485
2020-12-26,19149187,218493,337563,1913,26734,115509
2020-12-27,19303663,154476,339001,1438,27063,118975
2020-12-28,19471624,167961,340878,1877,27519,121414
2020-12-29,19672858,201234,344494,3616,27782,122653
